seccional,direccion,localidad,direccion_limpia,direccion_completa_limpia,location,lat,lon
FLORENCIO VARELA Nº 2,PRINGLES 189,FLORENCIO VARELA,PRINGLES 189,"PRINGLES 189, FLORENCIO VARELA, Argentina","Coronel Pringles, Centro, Florencio Varela, Partido de Florencio Varela, Buenos Aires, B1888EEE, Argentina",-34.8096499,-58.2698772
MORENO Nº 2,ESPAÑA 457,MORENO,ESPAÑA 457,"ESPAÑA 457, MORENO, Argentina","Registro Automotor 2 - Moreno, 457, España, Moreno Centro sur, Moreno Centro Norte, Moreno, Partido de Moreno, Buenos Aires, B1744, Argentina",-34.6451228,-58.7881227
TRES DE FEBRERO Nº 3,AVENIDA RIVADAVIA 11942,CIUDADELA,AVENIDA RIVADAVIA 11942,"AVENIDA RIVADAVIA 11942, CIUDADELA, Argentina","11942, 137 - Avenida Rivadavia, Villa Weigel, Ciudadela, Partido de Tres de Febrero, Buenos Aires, B1702, Argentina",-34.6397111,-58.5327234
LOMAS DE ZAMORA Nº 6,AZARA 460,LOMAS DE ZAMORA,AZARA 460,"AZARA 460, LOMAS DE ZAMORA, Argentina","460, Félix de Azara, Lomitas, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",-34.7545606,-58.4044181
TRES DE FEBRERO Nº 6,IBARROLA 31,CIUDADELA TRES DE FEBRERO,IBARROLA 31,"IBARROLA 31, CIUDADELA TRES DE FEBRERO, Argentina","31, 104 - Teniente Coronel Amadeo Ibarrola, Triánguilo Comercial de Ciudadela Sur, Ciudadela, Partido de Tres de Febrero, Buenos Aires, C1408ABQ, Argentina",-34.6399815,-58.5322521
FLORENCIO VARELA Nº 1,MONTEAGUDO 354,FLORENCIO VARELA,MONTEAGUDO 354,"MONTEAGUDO 354, FLORENCIO VARELA, Argentina","Bernardo de Monteagudo, Centro, Florencio Varela, Partido de Florencio Varela, Buenos Aires, B1888, Argentina",-34.8015639,-58.2749666
CORDOBA Nº 03,AVENIDA GENERAL PAZ 323,CORDOBA,AVENIDA GENERAL PAZ 323,"AVENIDA GENERAL PAZ 323, CORDOBA, Argentina","323, Avenida General Paz, Centro, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina",-31.4114094,-64.1852769
HURLINGHAM Nº 2 (EX. MORON Nº 10),SUIPACHA 719,HAEDO,SUIPACHA 719,"SUIPACHA 719, HAEDO, Argentina","719, Suipacha, Haedo, Partido de Morón, Buenos Aires, 1753, Argentina",-34.65074,-58.5936277
LANUS Nº 9,29 DE SEPTIEMBRE 1792,LANUS,29 DE SEPTIEMBRE 1792,"29 DE SEPTIEMBRE 1792, LANUS, Argentina","1792, 29 de Septiembre, Villa General Paz, Lanús Este, Partido de Lanús, Buenos Aires, B1824, Argentina",-34.7053902,-58.3895011
MORENO Nº 5,BELGRANO 45,MORENO,BELGRANO 45,"BELGRANO 45, MORENO, Argentina","Belgrano, Perito Moreno, Lago Buenos Aires, Santa Cruz, 9040, Argentina",-46.5914507,-70.9296445
MERLO Nº 4,AVENIDA RICARDO BALBIN 948,MERLO,AVENIDA RICARDO BALBIN 948,"AVENIDA RICARDO BALBIN 948, MERLO, Argentina","Avenida Doctor Ricardo Balbín, Loma Florida, Merlo, Partido de Merlo, Buenos Aires, B1722EGB, Argentina",-34.6806749,-58.7597594
JOSE C. PAZ Nº 3,HIPOLITO YRIGOYEN 1469,JOSE C PAZ,HIPOLITO YRIGOYEN 1469,"HIPOLITO YRIGOYEN 1469, JOSE C PAZ, Argentina","Avenida Presidente Hipólito Yrigoyen, Piñero, José C. Paz, Partido de José C. Paz, Buenos Aires, B1665, Argentina",-34.5243635,-58.7639748
HURLINGHAM Nº 1 (EX. MORON Nº 4),SGTO SALAZAR 1441,HURLINGHAM,SGTO SALAZAR 1441,"SGTO SALAZAR 1441, HURLINGHAM, Argentina",,,
LOMAS DE ZAMORA Nº 5,COLOMBRES 1165,LOMAS DE ZAMORA,COLOMBRES 1165,"COLOMBRES 1165, LOMAS DE ZAMORA, Argentina","1165, José Eusebio Colombres, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",-34.762239,-58.4143688
CAPITAL FEDERAL Nº 038,RODRIGUEZ PEÑA 40,CABA,RODRIGUEZ PEÑA 40,"RODRIGUEZ PEÑA 40, CABA, Argentina","40, Rodríguez Peña, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1022AAA, Argentina",-34.6086245,-58.3906694
QUILMES Nº 1,QUINTANA 616,QUILMES,QUINTANA 616,"QUINTANA 616, QUILMES, Argentina","616, Manuel Quintana, Quilmes Este, Quilmes, Partido de Quilmes, Buenos Aires, 1877, Argentina",-34.7216477,-58.270559
LANUS Nº 2,PRESIDENTE ARTURO ILLIA 1054,LANUS,PRESIDENTE ARTURO ILLIA 1054,"PRESIDENTE ARTURO ILLIA 1054, LANUS, Argentina","1054, Presidente Arturo Umberto Illia, Villa General Paz, Lanús Este, Partido de Lanús, Buenos Aires, B1824, Argentina",-34.7042118,-58.387624
LANUS Nº 1,ONCATIVO 2178,LANUS,ONCATIVO 2178,"ONCATIVO 2178, LANUS, Argentina","2178, Oncativo, Villa General Paz, Lanús Este, Partido de Lanús, Buenos Aires, B1824, Argentina",-34.7118228,-58.388058
ESTEBAN ECHEVERRIA Nº 4,DARDO ROCHA,MONTE GRANDE,DARDO ROCHA,"DARDO ROCHA, MONTE GRANDE, Argentina","Avenida Dardo Rocha, Monte Grande, Partido de Esteban Echeverría, Buenos Aires, B1842AHV, Argentina",-34.8215047,-58.4802277
PILAR Nº 4,TUCUMAN 501,PILAR,TUCUMAN 501,"TUCUMAN 501, PILAR, Argentina","501, Tucumán, Villa Morra, Pilar, Partido del Pilar, Buenos Aires, 1629, Argentina",-34.4556642,-58.9120617
QUILMES Nº 2,MORENO 460,QUILMES,MORENO 460,"MORENO 460, QUILMES, Argentina","Moreno, Quilmes Este, Quilmes, Partido de Quilmes, Buenos Aires, 1882, Argentina",-34.7407029,-58.2436686
CORDOBA Nº 11,URQUIZA 1245,CORDOBA,URQUIZA 1245,"URQUIZA 1245, CORDOBA, Argentina","1245, General Justo José de Urquiza, Alta Córdoba, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina",-31.4003305,-64.189233
AVELLANEDA Nº 1,AVENIDA MITRE 2058,AVELLANEDA,AVENIDA MITRE 2058,"AVENIDA MITRE 2058, AVELLANEDA, Argentina","2058, Avenida Bartolomé Mitre, Crucecita, Avellaneda, Partido de Avellaneda, Buenos Aires, 1870, Argentina",-34.6704779,-58.3534389
