seccional,direccion,localidad,direccion_limpia,direccion_completa_limpia,location,lat,lon
SARMIENTO,AVENIDA SAN MARTIN 446,SARMIENTO,AVENIDA SAN MARTIN 446,"AVENIDA SAN MARTIN 446, SARMIENTO, Argentina","446, Avenida San Martín, El Fundador, Domingo Faustino Sarmiento, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, 5152, Argentina",-31.4183416,-64.4940555
SALTA Nº 1,PELLEGRINI 822,SALTA,PELLEGRINI 822,"PELLEGRINI 822, SALTA, Argentina","822, Carlos Pellegrini, Salta, Capital, Salta, 4400, Argentina",-24.7998297,-65.4162369
MORTEROS,MARCONI 161,MORTEROS,MARCONI 161,"MARCONI 161, MORTEROS, Argentina","161, Marconi, Barrio Islas Malvinas, Morteros, Municipio de Morteros, Pedanía Libertad, Departamento San Justo, Córdoba, X2421, Argentina",-30.7092837,-62.0055477
TUCUMAN Nº 1,LAVALLE 329,TUCUMAN,LAVALLE 329,"LAVALLE 329, TUCUMAN, Argentina","329, Lavalle, Barrio Sur, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina",-26.8395109,-65.2041828
MAIPU,MADERO 321,MAIPU,MADERO 321,"MADERO 321, MAIPU, Argentina","Madero, Villa Italia, Maipú, Partido de Maipú, Buenos Aires, B7160CCH, Argentina",-36.8656735,-57.8853682
FORMOSA Nº 4,ESPAÑA 440,FORMOSA,ESPAÑA 440,"ESPAÑA 440, FORMOSA, Argentina","440, España, San Martín, Formosa, Municipio de Formosa, Departamento Formosa, Formosa, 3600, Argentina",-26.1824873,-58.1694539
SAN JUAN Nº 7,SAN LUIS 837,SAN JUAN,SAN LUIS 837,"SAN LUIS 837, SAN JUAN, Argentina","837, San Luis, San Juan, Zona 2, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, S2132, Argentina",-32.9315445,-60.8008306
CORONEL DORREGO,AVENIDA CASAL VARELA 1848,CORONEL DORREGO,AVENIDA CASAL VARELA 1848,"AVENIDA CASAL VARELA 1848, CORONEL DORREGO, Argentina","0 - Avenida Carlos Casal Varela, Coronel Dorrego, Cuartel XVII, Partido de Coronel Dorrego, Buenos Aires, B8150, Argentina",-38.7276925,-61.2779028
LA CARLOTA,GENERAL PAZ 55,LA CARLOTA,GENERAL PAZ 55,"GENERAL PAZ 55, LA CARLOTA, Argentina","55, General Paz, La Carlota, Municipio de La Carlota, Pedanía La Carlota, Departamento Juárez Celman, Córdoba, 2670, Argentina",-33.4178233,-63.3009709
AZUL Nº 2,9 DE JULIO 440,AZUL,9 DE JULIO 440,"9 DE JULIO 440, AZUL, Argentina","440, 9 de Julio, Centro, Azul, Partido de Azul, Buenos Aires, 7300, Argentina",-36.7792631,-59.865161
CARLOS CASARES,ALVARADO 168,CARLOS CASARES,ALVARADO 168,"ALVARADO 168, CARLOS CASARES, Argentina","168, Alvarado, Carlos Casares, Partido de Carlos Casares, Buenos Aires, 6530, Argentina",-35.620545,-61.3647572
SALTA Nº 7,CORDOBA 487,SALTA,CORDOBA 487,"CORDOBA 487, SALTA, Argentina","487, Córdoba, Barrio Hernando de Lerma, Bº 13 de Abril, Salta, Capital, Salta, 4400, Argentina",-24.7961103,-65.4087758
PARANA Nº 2,COLON 115,PARANA,COLON 115,"COLON 115, PARANA, Argentina","115, Colón, Barrio Leandro N. Alem, Paraná, Municipio de Paraná, Distrito Sauce, Departamento Paraná, 3100, Argentina",-31.7279111,-60.5260152
SAN SALVADOR DE JUJUY Nº 2,SALTA 869,SAN SALVADOR DE JUJUY,SALTA 869,"SALTA 869, SAN SALVADOR DE JUJUY, Argentina","Salta, Centro, Municipio de San Salvador de Jujuy, Departamento Doctor Manuel Belgrano, Jujuy, Y4600EFK, Argentina",-24.1819386,-65.309211
RAUCH,CORONEL SUAREZ 86,RAUCH,CORONEL SUAREZ 86,"CORONEL SUAREZ 86, RAUCH, Argentina","86, Coronel Suárez, Centro, Rauch, Partido de Rauch, Buenos Aires, B7203BPD, Argentina",-36.776697,-59.0892333
RAFAELA Nº 2 (EX 5),MAIPU 275,RAFAELA,MAIPU 275,"MAIPU 275, RAFAELA, Argentina","275, Maipú, 9 de Julio, Rafaela, Municipio de Rafaela, Departamento Castellanos, S2300, Argentina",-31.2504282,-61.4941688
OLAVARRIA Nº 3,COLON 3020,OLAVARRIA,COLON 3020,"COLON 3020, OLAVARRIA, Argentina","3020, Avenida Colón, Centro, Olavarría, Partido de Olavarría, Buenos Aires, 7400, Argentina",-36.8914204,-60.3155648
ESQUEL Nº 2,AVENIDA FONTANA 687,ESQUEL,AVENIDA FONTANA 687,"AVENIDA FONTANA 687, ESQUEL, Argentina","687, Avenida Fontana, Morelli, Medardo Morelli, Esquel, Municipio de Esquel, Departamento Futaleufú, Chubut, U9200, Argentina",-42.9119807,-71.3191601
RUFINO,BERNABE FERREYRA 542,RUFINO,BERNABE FERREYRA 542,"BERNABE FERREYRA 542, RUFINO, Argentina","542, Bernabé Ferreyra, Centro, Rufino, Municipio de Rufino, Departamento General López, 6100, Argentina",-34.2640888,-62.71906
ARISTOBULO DEL VALLE,COMANDANTE ANDRESITO 721,ARISTOBULO DEL VALLE,COMANDANTE ANDRESITO 721,"COMANDANTE ANDRESITO 721, ARISTOBULO DEL VALLE, Argentina","Comandante Andresito, Norte, Aristóbulo del Valle, Municipio de Aristóbulo del Valle, Departamento Cainguás, Misiones, Argentina",-27.0935452,-54.8960178
CHOELE CHOEL,AVELLANEDA 1078,CHOELE CHOEL,AVELLANEDA 1078,"AVELLANEDA 1078, CHOELE CHOEL, Argentina","1078, Avellaneda, Centro, Choele Choel, Municipio de Choele Choel, Departamento Avellaneda, Río Negro, 8360, Argentina",-39.2937209,-65.6587658
ROSARIO DEL TALA,ROQUE SAENZ PENA 369,ROSARIO DEL TALA,ROQUE SAENZ PENA 369,"ROQUE SAENZ PENA 369, ROSARIO DEL TALA, Argentina","369, Roque Sáenz Peña, Rosario del Tala, Distrito Pueblo Segundo, Departamento Tala, E3174ZAA, Argentina",-32.2998683,-59.1416048
POSADAS Nº 5,GENERAL PAZ 1656,POSADAS,GENERAL PAZ 1656,"GENERAL PAZ 1656, POSADAS, Argentina","1656, General Paz, Centro, Centro de Integración Territorial Centro, Posadas, Municipio de Posadas, Departamento Capital, Misiones, 3300, Argentina",-27.3662524,-55.8882424
DIAMANTE,MITRE 218,DIAMANTE,MITRE 218,"MITRE 218, DIAMANTE, Argentina","Mitre, Diamante, Distrito Costa Grande, Departamento Diamante, Entre Ríos, 3105, Argentina",-32.0698287,-60.6420297
BELL VILLE Nº 2,CORDOBA 194,BELL VILLE,CORDOBA 194,"CORDOBA 194, BELL VILLE, Argentina","194, Córdoba, Bell Ville, Municipio de Bell Ville, Pedanía Bell Ville, Departamento Unión, Córdoba, 2550, Argentina",-32.6295652,-62.6880293
OBERA Nº 2,SANTIAGO DEL ESTERO 50,OBERA,SANTIAGO DEL ESTERO 50,"SANTIAGO DEL ESTERO 50, OBERA, Argentina","50, Santiago del Estero, Barrio Villa Kindgreen, Oberá, Municipio de Oberá, Departamento Oberá, Misiones, 3360, Argentina",-27.4839389,-55.1194472
FORMOSA Nº 3,FONTANA 280,FORMOSA,FONTANA 280,"FONTANA 280, FORMOSA, Argentina","Fontana, Formosa, Municipio de Formosa, Departamento Formosa, Formosa, 3600, Argentina",-26.1860398,-58.1894153
TUCUMAN Nº 10,JUJUY 620,TUCUMAN,JUJUY 620,"JUJUY 620, TUCUMAN, Argentina","620, Jujuy, Barrio Sur, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina",-26.8382307,-65.212888
NOGOYA,QUIROGA Y TABOADA 876,NOGOYA,QUIROGA Y TABOADA 876,"QUIROGA Y TABOADA 876, NOGOYA, Argentina","Quiroga y Taboada, Mantegaza, Nogoyá, Distrito Montoya, Departamento Nogoyá, Argentina",-32.3986861,-59.7909937
NUEVE DE JULIO Nº 1,AVENIDA SAN MARTIN 969,NUEVE DE JULIO,AVENIDA SAN MARTIN 969,"AVENIDA SAN MARTIN 969, NUEVE DE JULIO, Argentina","969, Avenida San Martín, 9 de Julio, Nueve de Julio, Partido de Nueve de Julio, Buenos Aires, B6500, Argentina",-35.4420295,-60.882735
BAHIA BLANCA Nº 6,GUEMES 267,BAHIA BLANCA,GUEMES 267,"GUEMES 267, BAHIA BLANCA, Argentina","267, Güemes, Centro Oeste, Bahía Blanca, Cuartel I, Partido de Bahía Blanca, Buenos Aires, B8000AGE, Argentina",-38.718632,-62.2721992
LA BANDA Nº 1,ALEM 466,LA BANDA,ALEM 466,"ALEM 466, LA BANDA, Argentina","Alem, Centro, La Banda, Municipio de La Banda, Departamento Banda, Santiago del Estero, G4300, Argentina",-27.7278633,-64.2350268
FRIAS,ALVEAR 681,FRIAS,ALVEAR 681,"ALVEAR 681, FRIAS, Argentina","Alvear, Centro, Frías, Municipio de Frías, Departamento Choya, Santiago del Estero, G4243, Argentina",-28.6310231,-65.1316737
VILLAGUAY,ALEM 267,VILLAGUAY,ALEM 267,"ALEM 267, VILLAGUAY, Argentina","267, Alem, Villaguay, Distrito Lucas al Sud, Departamento Villaguay, 3240, Argentina",-31.8680958,-59.0288997
ALEJO LEDESMA,HIPOLITO YRIGOYEN 238,ALEJO LEDESMA,HIPOLITO YRIGOYEN 238,"HIPOLITO YRIGOYEN 238, ALEJO LEDESMA, Argentina","Hipólito Yrigoyen, Alejo Ledesma, Municipio de Alejo Ledesma, Pedanía Las Tunas, Departamento Marcos Juárez, Córdoba, X2580, Argentina",-33.6067485,-62.6219441
RESISTENCIA Nº 4,LAS HERAS 370,RESISTENCIA,LAS HERAS 370,"LAS HERAS 370, RESISTENCIA, Argentina","370, Avenida Las Heras, Central Norte, Resistencia, Municipio de Resistencia, Departamento San Fernando, Chaco, 1544, Argentina",-27.4601195,-58.9827321
RAFAELA Nº 5,ERNESTO SALVA 609,RAFAELA,ERNESTO SALVA 609,"ERNESTO SALVA 609, RAFAELA, Argentina","609, Avenida Ernesto Salva, 9 de Julio, Rafaela, Municipio de Rafaela, Departamento Castellanos, S2300, Argentina",-31.242371,-61.4952464
VERA,EUGENIO ALEMÁN 1764,VERA,EUGENIO ALEMÁN 1764,"EUGENIO ALEMÁN 1764, VERA, Argentina","1764, Eugenio Aleman, Centro, Vera, Municipio de Vera, Departamento Vera, 3550, Argentina",-29.4612531,-60.2115793
LA RIOJA Nº 3,BUENOS AIRES 510,LA RIOJA,BUENOS AIRES 510,"BUENOS AIRES 510, LA RIOJA, Argentina","Buenos Aires, La Rioja, Departamento Capital, La Rioja, F5300, Argentina",-29.4178998,-66.8559235
BARRANQUERAS,AVENIDA LAPRIDA 5208,BARRANQUERAS,AVENIDA LAPRIDA 5208,"AVENIDA LAPRIDA 5208, BARRANQUERAS, Argentina","5208, Avenida Laprida, Barranqueras, Departamento San Fernando, Chaco, H3503, Argentina",-27.4855349,-58.9334976
LAS VARILLAS,GENERAL ROCA 387,LAS VARILLAS,GENERAL ROCA 387,"GENERAL ROCA 387, LAS VARILLAS, Argentina","387, General Roca, Barrio Alta Córdoba, Barrio Centro, Las Varillas, Municipio de Las Varillas, Pedanía Sacanta, Departamento San Justo, Córdoba, X2400, Argentina",-31.8692476,-62.722556
CHILECITO,ANTONIA IRIBARREN 237,CHILECITO,ANTONIA IRIBARREN 237,"ANTONIA IRIBARREN 237, CHILECITO, Argentina","Antonia Iribarren, Barrio Castro y Bazan, Chilecito, Departamento Chilecito, La Rioja, F5360, Argentina",-29.1581327,-67.4935939
CURUZÚ CUATIÁ,SAN MARTIN 545,CURUZU CUATIA,SAN MARTIN 545,"SAN MARTIN 545, CURUZU CUATIA, Argentina","545, San Martín, Barrio Centro, Municipio de Curuzú Cuatiá, Departamento Curuzú Cuatiá, Corrientes, 3460, Argentina",-29.7946092,-58.0515384
USHUAIA Nº 3,KUPANAKA 121,USHUAIA,KUPANAKA 121,"KUPANAKA 121, USHUAIA, Argentina","Kupanaka, Don Bosco, Ushuaia, Departamento Ushuaia, Tierra del Fuego, 1257, Argentina",-54.8177483,-68.3267933
PUERTO RICO,SAN MARTIN 1480,PUERTO RICO,SAN MARTIN 1480,"SAN MARTIN 1480, PUERTO RICO, Argentina","Argentina, 8, Doctor Ricardo Gutiérrez, Puerto Rico, Municipio de Puerto Rico, Departamento Libertador General San Martín, Misiones, 3334, Argentina",-26.8149889,-55.0266878
APOSTOLES,BARTOLOME MITRE 261,APOSTOLES,BARTOLOME MITRE 261,"BARTOLOME MITRE 261, APOSTOLES, Argentina","Registro del Automotor, 261, Bartolomé Mitre, Centro, Barrio Chaquito, Apóstoles, Municipio de Apóstoles, Departamento Apóstoles, Misiones, 3350, Argentina",-27.9161521,-55.7547066
CALETA OLIVIA Nº 1,SAN MARTIN 2108,CALETA OLIVIA,SAN MARTIN 2108,"SAN MARTIN 2108, CALETA OLIVIA, Argentina","San Martín, Mercado de la Ciudad, Caleta Olivia, Deseado, Santa Cruz, Argentina",-46.448871,-67.5248171
SAN SALVADOR DE JUJUY Nº 4,BALCARCE 526,SAN SALVADOR DE JUJUY,BALCARCE 526,"BALCARCE 526, SAN SALVADOR DE JUJUY, Argentina","General Balcarce, Centro, Asentamiento Puente Otero, Municipio de San Salvador de Jujuy, Departamento Doctor Manuel Belgrano, Jujuy, Y4600AJR, Argentina",-24.1850487,-65.3055319
VIALE,9 DE JULIO 361,VIALE,9 DE JULIO 361,"9 DE JULIO 361, VIALE, Argentina","361, 9 de Julio, Florida, Viale, Municipio de Viale, Distrito Quebracho, Departamento Paraná, 3109, Argentina",-31.872324,-60.0107245
GONZALES CHAVES,JUAN ELICAGARAY 317,GONZALES CHAVES,JUAN ELICAGARAY 317,"JUAN ELICAGARAY 317, GONZALES CHAVES, Argentina","317, Juan Eliçagaray, Adolfo Gonzáles Chaves, Partido de Adolfo Gonzales Chaves, Buenos Aires, B7513BUF, Argentina",-38.033311,-60.0972493
CHAMICAL,REGISTRO AUTOMOTOR,CHAMICAL,REGISTRO AUTOMOTOR,"REGISTRO AUTOMOTOR, CHAMICAL, Argentina",,,
CALETA OLIVIA Nº 2,25 DE MAYO 86,CALETA OLIVIA,25 DE MAYO 86,"25 DE MAYO 86, CALETA OLIVIA, Argentina","86, 25 de Mayo, Zona Centro, Mercado de la Ciudad, Caleta Olivia, Deseado, Santa Cruz, 9011, Argentina",-46.4396616,-67.518512
GUALEGUAY Nº 1,25 DE MAYO 521,GUALEGUAY,25 DE MAYO 521,"25 DE MAYO 521, GUALEGUAY, Argentina","521, 25 de Mayo, Gualeguay, Distrito Cuchilla, Departamento Gualeguay, Argentina",-33.1480916,-59.3128583
ROJAS,CASTELLI 516,ROJAS,CASTELLI 516,"CASTELLI 516, ROJAS, Argentina","Registro Nacional de la Propiedad del Automotor, 516, Castelli, Rojas, Partido de Rojas, Buenos Aires, 2705, Argentina",-34.2015434,-60.7298664
EL COLORADO,MARTIN FIERRO 42,EL COLORADO,MARTIN FIERRO 42,"MARTIN FIERRO 42, EL COLORADO, Argentina","Martín Fierro, Barrio Mitre, El Colorado, Municipio de El Colorado, Departamento Pirané, Formosa, P3603, Argentina",-26.3095142,-59.3775507
USHUAIA Nº 1,ASCASUBI 23,USHUAIA,ASCASUBI 23,"ASCASUBI 23, USHUAIA, Argentina","Hilario Ascasubi, Don Bosco, Ushuaia, Departamento Ushuaia, Tierra del Fuego, 1257, Argentina",-54.8179675,-68.3282863
RECREO,SARMIENTO 42,RECREO,SARMIENTO 42,"SARMIENTO 42, RECREO, Argentina","42, Domingo F. Sarmiento, Centro, Recreo, Municipio de Recreo, Departamento La Paz, Catamarca, 5260, Argentina",-29.2777364,-65.0586252
SAN JORGE Nº 1,URQUIZA 930,SAN JORGE,URQUIZA 930,"URQUIZA 930, SAN JORGE, Argentina","930, Urquiza, Municipio de San Jorge, Departamento San Martín, S2451, Argentina",-31.8991479,-61.8570094
ALBERTI,9 DE JULIO 34,ALBERTI,9 DE JULIO 34,"9 DE JULIO 34, ALBERTI, Argentina","34, 9 de Julio, Alberti, Partido de Alberti, Buenos Aires, B6634, Argentina",-35.031197,-60.2807079
SALTA Nº 4,CORRIENTES 577,SALTA,CORRIENTES 577,"CORRIENTES 577, SALTA, Argentina","577, Corrientes, Barrio Hernando de Lerma, B. Hernando de Lerma, Salta, Capital, Salta, 4400, Argentina",-24.8012656,-65.4116659
CONCORDIA Nº 3,PARANA 117,CONCORDIA,PARANA 117,"PARANA 117, CONCORDIA, Argentina","117, Paraná, Almafuerte, Concordia, Distrito Suburbios, Departamento Concordia, E3200DWC, Argentina",-31.4042531,-58.0178799
RAFAELA Nº 4,TUCUMAN 150,RAFAELA,TUCUMAN 150,"TUCUMAN 150, RAFAELA, Argentina","Tucumán, Mora, Rafaela, Municipio de Rafaela, Departamento Castellanos, S2300, Argentina",-31.2309887,-61.479199
MEDANOS,SAENZ 87,MEDANOS,SAENZ 87,"SAENZ 87, MEDANOS, Argentina","87, Sáenz, Médanos, Cuartel I, Buenos Aires, B8132BID, Argentina",-38.8244139,-62.6942753
SALTA Nº 2,TUCUMAN 289,SALTA,TUCUMAN 289,"TUCUMAN 289, SALTA, Argentina","289, Tucumán, Salta, Capital, Salta, 4402, Argentina",-24.7995647,-65.4180124
SAN RAFAEL Nº 1,HIPOLITO YRIGOYEN 61,SAN RAFAEL,HIPOLITO YRIGOYEN 61,"HIPOLITO YRIGOYEN 61, SAN RAFAEL, Argentina","61, Avenida Hipólito Yrigoyen, San Rafael, Distrito Ciudad de San Rafael, Departamento San Rafael, Mendoza, 5600, Argentina",-34.6160617,-68.3307369
RIO CUARTO Nº 3,PEDERNERA 341,RIO CUARTO,PEDERNERA 341,"PEDERNERA 341, RIO CUARTO, Argentina","341, Pedernera, General Roca, Macrocentro, Río Cuarto, Municipio de Río Cuarto, Pedanía Río Cuarto, Departamento Río Cuarto, Córdoba, X5800, Argentina",-33.1294311,-64.3466127
PARANA Nº 4,CORDOBA 247,PARANA,CORDOBA 247,"CORDOBA 247, PARANA, Argentina","247, Córdoba, Barrio Centro, Paraná, Municipio de Paraná, Distrito Sauce, Departamento Paraná, 3100, Argentina",-31.7281729,-60.5329846
SAN JUAN Nº 4,SANTA FE 79,SAN JUAN,SANTA FE 79,"SANTA FE 79, SAN JUAN, Argentina","79 (O), Santa Fe, Trinidad, San Juan, Capital, San Juan, J5402ACA, Argentina",-31.539077,-68.526619
LOS TOLDOS,ITALIA 950,LOS TOLDOS,ITALIA 950,"ITALIA 950, LOS TOLDOS, Argentina","Italia, Don Joaquín, Los Toldos, Partido de General Viamonte, Buenos Aires, 6015, Argentina",-34.996299,-61.0457582
FORMOSA Nº 1,MORENO 458,FORMOSA,MORENO 458,"MORENO 458, FORMOSA, Argentina","458, Moreno, Centro, Clorinda, Municipio de Clorinda, Departamento Pilcomayo, Formosa, 3610, Argentina",-25.2916664,-57.7115369
POSADAS Nº 1,TRES DE FEBRERO 2025,POSADAS,TRES DE FEBRERO 2025,"TRES DE FEBRERO 2025, POSADAS, Argentina","Comisaría Tres de Febrero 10ª - Seccional Sáenz Peña, 401 - Gervasio de Posadas, Sáenz Peña, Partido de Tres de Febrero, Buenos Aires, B1674, Argentina",-34.6026663,-58.5272929
RECONQUISTA Nº 1,BELGRANO 1012,RECONQUISTA,BELGRANO 1012,"BELGRANO 1012, RECONQUISTA, Argentina","1012, Belgrano, Barrio San Martín, Reconquista, Municipio de Reconquista, Departamento General Obligado, S3560, Argentina",-29.1476521,-59.6466543
PUERTO SANTA CRUZ,AVENIDA ROCA 665,PUERTO SANTA CRUZ,AVENIDA ROCA 665,"AVENIDA ROCA 665, PUERTO SANTA CRUZ, Argentina","Avenida Roca, Puerto Santa Cruz, Corpen Aike, Santa Cruz, 9300, Argentina",-50.0168829,-68.5256056
ARTEAGA,PARAGUAY 118,ARTEAGA,PARAGUAY 118,"PARAGUAY 118, ARTEAGA, Argentina","118, Paraguay, Municipio de Arteaga, Departamento Caseros, S2187, Argentina",-33.0850316,-61.7934428
SAN RAFAEL Nº 2,MORENO 310,SAN RAFAEL,MORENO 310,"MORENO 310, SAN RAFAEL, Argentina","310, Moreno, Rafael Origone, Municipio de Villa Mercedes, General Pedernera, San Luis, D5730, Argentina",-33.6698648,-65.4545565
RIO TURBIO,REGISTRO AUTOMOTOR,RIO TURBIO,REGISTRO AUTOMOTOR,"REGISTRO AUTOMOTOR, RIO TURBIO, Argentina",,,
RIO GALLEGOS Nº 1,PASTEUR 225,RIO GALLEGOS,PASTEUR 225,"PASTEUR 225, RIO GALLEGOS, Argentina","225, Louis Pasteur, 400 Departamentos, Fátima, Río Gallegos, Municipio de Río Gallegos, Güer Aike, Santa Cruz, 9400, Argentina",-51.6244683,-69.2238331
BALNEARIA,MAIPU 20,BALNEARIA,MAIPU 20,"MAIPU 20, BALNEARIA, Argentina","20, Maipú, Balnearia, Municipio de Balnearia, Pedanía Concepción, Departamento San Justo, Córdoba, X5141, Argentina",-31.0047135,-62.6657767
SAN JUSTO,CABAL 2255,SAN JUSTO SANTA FE,CABAL 2255,"CABAL 2255, SAN JUSTO SANTA FE, Argentina",,,
SAN JUAN Nº 2,25 DE MAYO 335,SAN JUAN,25 DE MAYO 335,"25 DE MAYO 335, SAN JUAN, Argentina","335, 25 de Mayo, Villa Media Agua, Sarmiento, San Juan, 5435, Argentina",-31.9835332,-68.4213058
FORMOSA Nº 2,JULIO ARGENTINO ROCA 1270,FORMOSA,JULIO ARGENTINO ROCA 1270,"JULIO ARGENTINO ROCA 1270, FORMOSA, Argentina","1270, Julio Argentino Roca, Don Bosco, Formosa, Municipio de Formosa, Departamento Formosa, Formosa, 3600, Argentina",-26.1908891,-58.174742
PLAZA HUINCUL,CORDOBA 811,PLAZA HUINCUL,CORDOBA 811,"CORDOBA 811, PLAZA HUINCUL, Argentina","Avenida Córdoba, Chacras de Huincul, Plaza Huincul, Municipio de Plaza Huincul, Departamento Confluencia, Neuquén, Q8318, Argentina",-38.9315714,-69.1782332
LA QUIACA,CATAMARCA 52,LA QUIACA,CATAMARCA 52,"CATAMARCA 52, LA QUIACA, Argentina","Catamarca, Belén, 9 de Julio, La Quiaca, Municipio de La Quiaca, Departamento Yavi, Jujuy, 4650, Argentina",-22.1049583,-65.5917072
HURLINGHAM Nº 3,AVENIDA JULIO ARGENTINO ROCA 1755,HURLINGHAM,AVENIDA JULIO ARGENTINO ROCA 1755,"AVENIDA JULIO ARGENTINO ROCA 1755, HURLINGHAM, Argentina","1755, Avenida Julio Argentino Roca, Hurlingham, Partido de Hurlingham, Buenos Aires, B1686, Argentina",-34.5825946,-58.6363014
PARANA Nº 5,MENDOZA 315,PARANA,MENDOZA 315,"MENDOZA 315, PARANA, Argentina","315, Mendoza, Barrio Virgen de Lourdes, Paraná, Municipio de Paraná, Distrito Sauce, Departamento Paraná, 3100, Argentina",-31.7252635,-60.5384786
VIEDMA Nº 2,LAPRIDA 604,VIEDMA,LAPRIDA 604,"LAPRIDA 604, VIEDMA, Argentina","604, Laprida, Belgrano, Manuel Belgrano, Viedma, Municipio de Viedma, Departamento Adolfo Alsina, Río Negro, 8500, Argentina",-40.8051851,-62.9982071
PUNTA ALTA Nº 1,BERNARDO DE IRIGOYEN 49,PUNTA ALTA,BERNARDO DE IRIGOYEN 49,"BERNARDO DE IRIGOYEN 49, PUNTA ALTA, Argentina","49, Bernardo de Irigoyen, Barrio Cooperativa de Viviendas, Centro, Punta Alta, Cuartel VI, Partido de Coronel de Marina Leonardo Rosales, Buenos Aires, 8109, Argentina",-38.8824166,-62.0824677
VILLA OCAMPO,ALBERDI 1132,VILLA OCAMPO,ALBERDI 1132,"ALBERDI 1132, VILLA OCAMPO, Argentina","1132, Alberdi, Municipio de Villa Ocampo, Departamento General Obligado, 3580, Argentina",-28.4913019,-59.3516071
REALICO,CENTENO 1638,REALICO LA PAMPA,CENTENO 1638,"CENTENO 1638, REALICO LA PAMPA, Argentina","1638, Gobernador Centeno, Islas Malvinas, Realicó, Municipio de Realicó, Departamento Realicó, La Pampa, 6200, Argentina",-35.0374028,-64.2451496
SAN JUAN Nº 8,ENTRE RIOS 347,SAN JUAN,ENTRE RIOS 347,"ENTRE RIOS 347, SAN JUAN, Argentina","347, Entre Ríos, Barrio San Roque, La_Cañada, Albardón, San Juan, 5419, Argentina",-31.444097,-68.5013109
RIO GRANDE Nº 4,ESTRADA 729,RIO GRANDE,ESTRADA 729,"ESTRADA 729, RIO GRANDE, Argentina","729, José Manuel Estrada, Thorne, Centro, Río Grande, Municipio de Río Grande, Departamento Río Grande, Tierra del Fuego, 9420, Argentina",-53.7847004,-67.7052574
CATAMARCA Nº 1,MAIPU 10,CATAMARCA,MAIPU 10,"MAIPU 10, CATAMARCA, Argentina","10, Maipú, Centro, San Fernando del Valle de Catamarca, Municipio de San Fernando del Valle de Catamarca, Departamento Capital, Catamarca, K4700, Argentina",-28.4608076,-65.7815605
CANALS,9 DE JULIO 152,CANALS,9 DE JULIO 152,"9 DE JULIO 152, CANALS, Argentina","9 de Julio, Canals, Municipio de Canals, Pedanía Loboy, Departamento Unión, Córdoba, X2550, Argentina",-33.5614341,-62.8827372
CORRIENTES Nº 2,9 DE JULIO 1072,CORRIENTES,9 DE JULIO 1072,"9 DE JULIO 1072, CORRIENTES, Argentina","1072, 9 de Julio, Barrio Deportes, Seccional 1°, Corrientes, Departamento Capital, Corrientes, 3400, Argentina",-27.4664649,-58.8370639
VILLA ANGELA,ECHEVERRIA 156,VILLA ANGELA,ECHEVERRIA 156,"ECHEVERRIA 156, VILLA ANGELA, Argentina","Registro del Automotor, 156, Echeverría, Barrio General San Martín, Villa Ángela, Municipio de Villa Ángela, Departamento Mayor Luis Jorge Fontana, Chaco, 3540, Argentina",-27.5751262,-60.7098784
VENADO TUERTO Nº 3,CHACABUCO 98,VENADO TUERTO,CHACABUCO 98,"CHACABUCO 98, VENADO TUERTO, Argentina","98, Chacabuco, Centro I, Venado Tuerto, Municipio de Venado Tuerto, Departamento General López, S2600KVB, Argentina",-33.7437723,-61.9585658
LA BANDA Nº 2,AVELLANEDA 313,LA BANDA,AVELLANEDA 313,"AVELLANEDA 313, LA BANDA, Argentina","313, Avellaneda, Centro, La Banda, Municipio de La Banda, Departamento Banda, Santiago del Estero, G4300, Argentina",-27.736045,-64.2421415
POSADAS Nº 4,BUENOS AIRES 1564,POSADAS,BUENOS AIRES 1564,"BUENOS AIRES 1564, POSADAS, Argentina","1564, Buenos Aires, Centro, Centro de Integración Territorial Centro, Posadas, Municipio de Posadas, Departamento Capital, Misiones, 3300, Argentina",-27.3649341,-55.8922668
HELVECIA,SENADOR ANTILLE 680,HELVECIA SANTA FE,SENADOR ANTILLE 680,"SENADOR ANTILLE 680, HELVECIA SANTA FE, Argentina",,,
SAN JUAN Nº 1,REGISTRO AUTOMOTOR 1,SAN JUAN,REGISTRO AUTOMOTOR 1,"REGISTRO AUTOMOTOR 1, SAN JUAN, Argentina","Registro Automotor 1, 422 (S), Aberastain, Trinidad, San Juan, Capital, San Juan, J5402EQJ, Argentina",-31.5389745,-68.5185272
CORRIENTES Nº 3,SAN MARTIN 634,CORRIENTES,SAN MARTIN 634,"SAN MARTIN 634, CORRIENTES, Argentina","634, San Martín, Barrio La Cruz, Seccional 1°, Corrientes, Departamento Capital, Corrientes, 3400, Argentina",-27.4693062,-58.8426503
AMERICA,RIVADAVIA 375,AMERICA,RIVADAVIA 375,"RIVADAVIA 375, AMERICA, Argentina","375, Rivadavia, América, Partido de Rivadavia, Buenos Aires, 6237, Argentina",-35.4907596,-62.9760547
